group_key,count,sample_actor_labels,source_folder_path,asset_path,actor_class_path,assembly_signature,render_part_count,total_render_part_count,source_actor_count,unsupported_component_count,unsupported_component_types,risk_flags,suggested_object_type_rid,suggested_object_type_name,hierarchy_path,classification_status,action,notes
assembly_signature:fb3a5b6009400589c3569e7c6c787837,1,Group2136670506,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Rectangle2133400785.Rectangle2133400785,/Script/Engine.Actor,fb3a5b6009400589c3569e7c6c787837,3,3,4,0,,composite_assembly,zhhz.display_media_device.model_6ec7712d009c4ccf,LED屏幕 LED-01（Group2136670506）,航空展馆/显示与媒体设备/LED屏幕,confirmed,create_experimental,round3 user-named model=LED-01; reviewed_model_signature=6ec7712d009c4ccf35ad98dc6c0504882d8c0fc98feda48662041fca2ba96493
assembly_signature:b3539ff7df4375d6284f855c0e551d87,1,Group2136670526,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Rectangle2133400807.Rectangle2133400807,/Script/Engine.Actor,b3539ff7df4375d6284f855c0e551d87,3,3,4,0,,composite_assembly,zhhz.display_media_device.model_8cf8dc7346e2a138,LED屏幕 LED-03（Group2136670526）,航空展馆/显示与媒体设备/LED屏幕,confirmed,create_experimental,round3 user-named model=LED-03; reviewed_model_signature=8cf8dc7346e2a1389ce20aa0bf23c88fdd16125689ac0dba29bcd4a2eb8bf05b
assembly_signature:ffdf249466d209efe38df8aa34e2ec15,1,Group2136670533,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Rectangle2133400817.Rectangle2133400817,/Script/Engine.Actor,ffdf249466d209efe38df8aa34e2ec15,3,3,4,0,,composite_assembly,zhhz.display_media_device.model_f40e11059cd3c75e,LED屏幕 LED-05（Group2136670533）,航空展馆/显示与媒体设备/LED屏幕,confirmed,create_experimental,round3 user-named model=LED-05; reviewed_model_signature=f40e11059cd3c75e5b04d7fb7eb9d40fb52ce26b3d3b6e1cb6366ecd8147f2e2
assembly_signature:b72cfe8ba0317ec34b5ad0879f67fe22,1,J20,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/3d66-Editable_Poly-21565540-029.3d66-Editable_Poly-21565540-029,/Script/Engine.Actor,b72cfe8ba0317ec34b5ad0879f67fe22,42,42,43,0,,composite_assembly,zhhz.aircraft_model_equipment.model_bc7ed32903d9b1f1,航模设备 AME-03（J20）,航空展馆/航模设备,confirmed,create_experimental,round3 user-named model=AME-03; reviewed_model_signature=bc7ed32903d9b1f153d3abad4065c906b6791f035bc9c68e964596933af5cb5a
assembly_signature:d4508fc4cf2d8714ea66e9b5daa69916,1,J306,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/3d66-Editable_Poly-24775679-056.3d66-Editable_Poly-24775679-056,/Script/Engine.Actor,d4508fc4cf2d8714ea66e9b5daa69916,36,36,37,0,,composite_assembly,zhhz.aircraft_model_equipment.model_8f75148c44f1e6bd,航模设备 AME-05（J306）,航空展馆/航模设备,confirmed,create_experimental,round3 user-named model=AME-05; reviewed_model_signature=8f75148c44f1e6bd94ed582d468fcf5ac5a1d0d9f32bd49943b723cb5f5b3c58
assembly_signature:6a1bf3c076664b574776c70ba4bd051c,1,J307,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/3d66-Editable_Poly-24775679-080.3d66-Editable_Poly-24775679-080,/Script/Engine.Actor,6a1bf3c076664b574776c70ba4bd051c,36,36,37,0,,composite_assembly,zhhz.aircraft_model_equipment.model_cfa6746a624f1f89,航模设备 AME-04（J307）,航空展馆/航模设备,confirmed,create_experimental,round3 user-named model=AME-04; reviewed_model_signature=cfa6746a624f1f892b5b7b4f939c981dd26804b4aeabf2e846d65ed2e083972c
assembly_signature:c9e96391a131178553b7d56051b1cd69,1,J35-海军型,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/3d66-Editable_mesh-29905461-057.3d66-Editable_mesh-29905461-057,/Script/Engine.Actor,c9e96391a131178553b7d56051b1cd69,57,57,58,0,,composite_assembly,zhhz.aircraft_model_equipment.model_a10fe57216ee6b50,航模设备 AME-01（J35-海军型）,航空展馆/航模设备,confirmed,create_experimental,round3 user-named model=AME-01; reviewed_model_signature=a10fe57216ee6b501cffb2596d6754cb8af1558760724d336efe82d52e4d3025
assembly_signature:a173c1428cd854319f98e90a2aa90e91,1,LE360,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Object10128927.Object10128927,/Script/Engine.Actor,a173c1428cd854319f98e90a2aa90e91,1,1,2,0,,,zhhz.aircraft_model_equipment.model_79bde7f7c5f76d43,航模设备 AME-09（LE360）,航空展馆/航模设备,confirmed,create_experimental,round3 user-named model=AME-09; reviewed_model_signature=79bde7f7c5f76d43aaef764c7d6ff073426b9ae310834a5a23abcaaa24593d15
assembly_signature:6fd1dcbd3269bf8d6531912b6af5c26b,1,Rectangle2133395720,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Rectangle2133395720.Rectangle2133395720,/Script/Engine.StaticMeshActor,6fd1dcbd3269bf8d6531912b6af5c26b,1,1,1,0,,,zhhz.display_media_device.model_dba0a37cd0a239f9,LED屏幕 LED-02（Rectangle2133395720）,航空展馆/显示与媒体设备/LED屏幕,confirmed,create_experimental,round3 user-named model=LED-02; reviewed_model_signature=dba0a37cd0a239f9c7e1f736c3aff3fe4638c7aa1f80ab1ed989bb42b5fd1373
assembly_signature:1eeac523ca9d4fc91121617ea54579d4,1,WZ-10,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/VH_WZ_10_Base.VH_WZ_10_Base,/Script/Engine.Actor,1eeac523ca9d4fc91121617ea54579d4,1,1,2,0,,,zhhz.aircraft_model_equipment.model_58d4fa1ee88e2802,航模设备 AME-06（WZ-10）,航空展馆/航模设备,confirmed,create_experimental,round3 user-named model=AME-06; reviewed_model_signature=58d4fa1ee88e2802ef07beeff27cf859226f28f9b1615e6fa43a08b3226ae639
assembly_signature:b2b01747622b65c0c7143a4fdc143810,1,主屏幕,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Rectangle2133396135.Rectangle2133396135,/Script/Engine.Actor,b2b01747622b65c0c7143a4fdc143810,4,4,7,0,,composite_assembly,zhhz.display_media_device.model_56714c240da8f421,LED屏幕 LED-04（主屏幕）,航空展馆/显示与媒体设备/LED屏幕,confirmed,create_experimental,round3 user-named model=LED-04; reviewed_model_signature=56714c240da8f4212d44f2c5b49935e7f0c492c1a39be93fc29bd16ffced0da7
