handle,label,business_type,selection_source
100877,AR500C002,unmanned_new_aircraft,supplemental
138652,MA60灭火,fixed_wing_aircraft,supplemental
142505,AC_313_A002,rotorcraft,supplemental
142580,翼龙-10H002,unmanned_new_aircraft,supplemental
142707,新舟搜救机,fixed_wing_aircraft,supplemental
150793,J-35A,fixed_wing_aircraft,supplemental
161675,AR-E800_电动垂直起降飞行器,unmanned_new_aircraft,supplemental
194115,翼龙-10H003,unmanned_new_aircraft,supplemental
419029,MA702,fixed_wing_aircraft,supplemental
533267,客舱系统,cockpit_simulator,supplemental
551672,翼龙模拟器,cockpit_simulator,supplemental
