business_category_rid,business_category_name,hierarchy_path,model_code,object_type_rid,object_type_name,datasmith_geometry_signature,instance_count,actor_labels,datasmith_handles,render_part_counts
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-13,zhhz.exhibit_fixture.model_598eb999fc37ba56,通航综合展陈装置（EF-13）,598eb999fc37ba56b585183e39549906c92a598798181e866326051d2e44555d,1,通航综合,109672,38
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-14,zhhz.exhibit_fixture.model_59b82b91f1cd460e,灰黑组合展台-B（EF-14）,59b82b91f1cd460ea945e3186ac7fd3c80093405b7fc87a0636851a53304a47f,1,Group2136670512,574812,23
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-15,zhhz.exhibit_fixture.model_59c9f5a990a7b7bb,双星发光展台-A（EF-15）,59c9f5a990a7b7bbcbb4d1ee20d00993ac1395965797b7740ccd554058a5e035,1,Group2136670501,571225,2
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-16,zhhz.exhibit_fixture.model_5d26575f9efc156d,小型白色展台（EF-16）,5d26575f9efc156d7decbe668f1f4e197bb2b467ccfb053c41569713002df968,1,Group2136668563,109734,4
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-17,zhhz.exhibit_fixture.model_628abc0c7e6e42b9,灰白组合展台（EF-17）,628abc0c7e6e42b9fd4811ff1b9e8f7906d8d30692d920f5c05caf5541d44aaa,1,Group2136668560,109714,14
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-18,zhhz.exhibit_fixture.model_68df85f64af653f3,蓝白组合展台（EF-18）,68df85f64af653f38e9aef4c99bb20e9f0a7303c81124a0385b9ec3ae896b2c8,1,Group2136669614,147693,10
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-19,zhhz.exhibit_fixture.model_6f12aaee9e552936,海蓝发光信息牌（EF-19）,6f12aaee9e552936ea2fa5d3448f140c2c8f5aeba8691c5d686ce56d74508e44,1,Group007,243445,4
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-20,zhhz.exhibit_fixture.model_726121c8e520f34f,大型复合展陈装置（EF-20）,726121c8e520f34fd8061cc098a9f3d8e238612778e1e7ff54a060cbc1a11dea,1,Group-402577-658,313490,118
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-21,zhhz.exhibit_fixture.model_838ad322811e2f63,八组件白色展台-A（EF-21）,838ad322811e2f63aa311976c76decb202fdb4159e4d23094b35f89a3bdba16a,1,Group2136669647,151606,8
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-22,zhhz.exhibit_fixture.model_8ed7fb5b004bd585,大型复合展陈装置（EF-22）,8ed7fb5b004bd5858ff346f4bd2ca94622a1f646e459f0f47adecd71ccd40a82,4,Group-402577-646|Group-402577-647|Group-402577-648|Group-402577-650,312062|312181|312300|312538,118|118|118|118
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-23,zhhz.exhibit_fixture.model_9a4f0499c9482fdf,黑白简式展台（EF-23）,9a4f0499c9482fdfeccf8f24d1b3e99d1a781176093540aa0bbdf1e6feb6fec3,1,Group2136670020,241224,3
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-24,zhhz.exhibit_fixture.model_ad28cfe223b46602,大型复合展陈装置（EF-24）,ad28cfe223b46602b751c98f4bb3eccbdf0550f624a92166f75ee620a4042aa0,1,Group-402577-660,313728,118
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-25,zhhz.exhibit_fixture.model_b21555c5a7d704ae,大型复合展陈装置（EF-25）,b21555c5a7d704aeabc52157349b6b64406cd730e23d4b0b298d1c4ad620926f,1,Group-402577-659,313609,118
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-26,zhhz.exhibit_fixture.model_b5ef33db2120c9bf,大型复合展陈装置（EF-26）,b5ef33db2120c9bf4d099186519b06171b8d7c8a84a6a87e436621d8e3be88ed,1,Group-402577-661,313847,118
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-27,zhhz.exhibit_fixture.model_c2a2d47995ebc347,红字白色展板（EF-27）,c2a2d47995ebc34729a4dcadcc295abdcaae8ae1abec12143b7262aa86e3ca0e,1,Group2136669008,139471,3
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-28,zhhz.exhibit_fixture.model_c728139672c62f2e,白色倒角展台-C（EF-28）,c728139672c62f2e7094a19ba6e35a2b1d9e3e856c7cbd7fab146858fc7043f0,1,Group2136670043,243399,2
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-29,zhhz.exhibit_fixture.model_cf1793fb61cb3c4e,双星发光展台-B（EF-29）,cf1793fb61cb3c4e30bbd61c30187ae2bb1534bd801d8025db53dc27a60f5aed,2,Group2136670500|Group2136670503,571224|572311,2|2
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-30,zhhz.exhibit_fixture.model_d4d40631a397d955,八组件白色展台-B（EF-30）,d4d40631a397d955bea11a4907121424d62ac287b0c559ffcfe1fd3a910e4b9a,1,Group2136670004,209503,8
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-31,zhhz.exhibit_fixture.model_d907bfd5c5272a6a,大型复合展陈装置（EF-31）,d907bfd5c5272a6a469f715cf11e044b6b2f2cdd0c0bd5a752ae7f1d4ffb3a77,1,Group-402577-662,313966,118
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-32,zhhz.exhibit_fixture.model_fc28a7d285b69bba,大型复合展陈装置（EF-32）,fc28a7d285b69bba6c6666be9b48852bae33000884be90d1ea8365237f9fbc59,2,Group-402577-663|Group-402577-667,314085|515874,118|118
zhhz.furniture,家具,航空展馆/家具,FUR-01,zhhz.furniture.model_00f6e344f4bc728d,浅灰模块沙发-端头A（FUR-01）,00f6e344f4bc728d92502ac91bf8b9e9178dfa6edb1b0ad10228b0202964aef3,1,Group2136670013,237114,148
zhhz.furniture,家具,航空展馆/家具,FUR-02,zhhz.furniture.model_08b8830e0759ec98,黑边操作台-03（FUR-02）,08b8830e0759ec98ca747152615c5853cf84ce9e12e4ab1a13c6f9bedd1a1f49,1,Group2136670494,552460,12
zhhz.furniture,家具,航空展馆/家具,FUR-03,zhhz.furniture.model_1e271d28426dbb11,浅灰模块沙发-中间模块A（FUR-03）,1e271d28426dbb116ec8712da2dd76633b32760d5c89de253ed44643c37eb3ee,4,Group2136669777|Group2136669779|Group2136669781|Group2136669783,157330|157490|157798|158106,148|148|148|148
zhhz.furniture,家具,航空展馆/家具,FUR-04,zhhz.furniture.model_2c43c2099c60a0f1,黑边操作台-04（FUR-04）,2c43c2099c60a0f1264bbe4094588f570be6015f8d68eb4e2de0efd670963b0f,1,Group2136670535,637730,12
zhhz.furniture,家具,航空展馆/家具,FUR-05,zhhz.furniture.model_475c912888eccf1b,蓝色布面展示桌（FUR-05）,475c912888eccf1bddf281cc5fc12f133aca18583a40b09abd335f5a1c88b9ba,1,Group2136670125,279769,16
zhhz.furniture,家具,航空展馆/家具,FUR-06,zhhz.furniture.model_61c27ee7c2b1fe3f,浅灰模块沙发-端头B（FUR-06）,61c27ee7c2b1fe3f2ae8dee1d5d3adeface89342a9c3818a00b864863344ed39,1,Group2136670012,237113,148
zhhz.furniture,家具,航空展馆/家具,FUR-07,zhhz.furniture.model_76d7245c5c5eb6f3,黑边操作台-01（FUR-07）,76d7245c5c5eb6f3d9ae36e364f2513d09e3248e8d4a246007a8684c19292368,1,Group2136670490,552432,12
zhhz.furniture,家具,航空展馆/家具,FUR-08,zhhz.furniture.model_8af3f2d41ac15d21,简式黑边操作台（FUR-08）,8af3f2d41ac15d2179b504b6cdfdceff5d07705b669fe864a35b9d6747d56cae,1,Group2136668721,112572,6
zhhz.furniture,家具,航空展馆/家具,FUR-09,zhhz.furniture.model_c1be81bd0e519f10,黑边操作台-02（FUR-09）,c1be81bd0e519f10a30cdf2233cfc33f9e5c07789c2d90a1507ae92e50a9366f,1,Group2136670492,552446,12
zhhz.furniture,家具,航空展馆/家具,FUR-10,zhhz.furniture.model_c5aac92959d48644,浅灰模块沙发-中间模块B（FUR-10）,c5aac92959d48644633b1840905af4d4627f89562630fb404eb590c9138c6be7,4,Group2136669302|Group2136669778|Group2136669780|Group2136669782,132959|157489|157797|158105,148|148|148|148
