ext_guid,actor_label,datasmith_handle,business_category_rid,business_category_name,hierarchy_path,model_code,object_type_rid,object_type_name,datasmith_geometry_signature,assembly_signature,source_actor_count,render_part_count,mirrored_source_actor_count,ue_path
A4916B0F-4A43-F582-2220-12A5EC38F7E2,Group-402577-663,314085,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-32,zhhz.exhibit_fixture.model_fc28a7d285b69bba,大型复合展陈装置（EF-32）,fc28a7d285b69bba6c6666be9b48852bae33000884be90d1ea8365237f9fbc59,7d4e90c9feaa5461b5b5fcaeabae849a,119,118,0,0713/西南二层/Group-402577-663
56DAB9F0-4D67-3C99-58B5-6E939F05441E,Group-402577-664,314204,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-07,zhhz.exhibit_fixture.model_41d52d8fe3054627,大型复合展陈装置（EF-07）,41d52d8fe30546274332911fbf4c75c609c420be573e351b8878a4d49f551f3e,b23acbedc1b7cdcb7952967b92330583,119,118,0,0713/西南二层/Group-402577-664
8804F264-4E22-4B12-8AD1-6EBE9D059540,Group-402577-666,447609,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-04,zhhz.exhibit_fixture.model_11faae0c2e1ae337,大型复合展陈装置（EF-04）,11faae0c2e1ae3372544fe386d70c2025d9ce5ace55ed9a5ceb51aac681bd078,f7896d877e606f93d91d9f048d383c53,119,118,0,0713/Group-402577-666
51F5BDAE-4B4E-E8E8-8B7B-6CAE8A5FA939,Group-402577-667,515874,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-32,zhhz.exhibit_fixture.model_fc28a7d285b69bba,大型复合展陈装置（EF-32）,fc28a7d285b69bba6c6666be9b48852bae33000884be90d1ea8365237f9fbc59,7bd73cf9c0923abc452d00574fdbeead,119,118,0,0713/西南二层/Group-402577-667
A88402B9-4781-4D9E-14F5-20B60364CC17,Group-402577-668,534861,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-08,zhhz.exhibit_fixture.model_4c6958ddf91d4a68,大型复合展陈装置（EF-08）,4c6958ddf91d4a68324a22e90bb0696d64dbf66ba95e8f9f9bc2e2193d0079d3,3862a4895d0cafc80e0716456b655329,119,118,0,0713/Group-402577-668
F0E1E9EA-4848-4DE7-A662-9CBDA671D1FC,Group007,243445,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-19,zhhz.exhibit_fixture.model_6f12aaee9e552936,海蓝发光信息牌（EF-19）,6f12aaee9e552936ea2fa5d3448f140c2c8f5aeba8691c5d686ce56d74508e44,025846afabe8fcccb72921b65b4bddbb,5,4,0,0713/Group0083683368/Group007
1441A82E-4944-E14E-EBA4-5FB69DD38E75,Group2136668560,109714,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-17,zhhz.exhibit_fixture.model_628abc0c7e6e42b9,灰白组合展台（EF-17）,628abc0c7e6e42b9fd4811ff1b9e8f7906d8d30692d920f5c05caf5541d44aaa,4cec343c6da0eb763194b601e703ace4,19,14,6,0713/Group2136668560
E65242D1-438F-6DF7-C748-EFA4CB130134,Group2136668563,109734,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-16,zhhz.exhibit_fixture.model_5d26575f9efc156d,小型白色展台（EF-16）,5d26575f9efc156d7decbe668f1f4e197bb2b467ccfb053c41569713002df968,0909cc5a79806efdcb6fcd91782afb97,7,4,2,0713/Group2136668563
78A2BE02-4702-DF48-C162-0B8DABCDBC02,Group2136668721,112572,zhhz.furniture,家具,航空展馆/家具,FUR-08,zhhz.furniture.model_8af3f2d41ac15d21,家具 FUR-08（Group2136668721）,8af3f2d41ac15d2179b504b6cdfdceff5d07705b669fe864a35b9d6747d56cae,8def5a97f095d492ad05ca21d93c5319,7,6,0,0713/Group2136668721
CE2D9285-4A97-DA77-A7AA-7E8FEDD93197,Group2136669008,139471,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-27,zhhz.exhibit_fixture.model_c2a2d47995ebc347,红字白色展板（EF-27）,c2a2d47995ebc34729a4dcadcc295abdcaae8ae1abec12143b7262aa86e3ca0e,e37eba5da2255d80a8963a2b3be92dc1,4,3,0,0713/Group2136669008
39C1B6A4-42FD-3111-BE07-72AFE388961C,Group2136669302,132959,zhhz.furniture,家具,航空展馆/家具,FUR-10,zhhz.furniture.model_c5aac92959d48644,家具 FUR-10（Group2136669302）,c5aac92959d48644633b1840905af4d4627f89562630fb404eb590c9138c6be7,c4fd8291ebcd9b2ae0d43fe8cc4289bc,154,148,77,0713/东南二层/Group2136669302
00B5D6A7-4CAD-DFCA-97EE-B1A03E6AF5BD,Group2136669588,146110,zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-03,zhhz.display_media_device.model_291322bd2b0460c3,组合媒体展示屏-056（DMD-03）,291322bd2b0460c325b2201abb0df981036ed3f312cbc041bfddfe0fd92809ab,c65073ede27a646b46b080356f90bba8,52,43,52,0713/Group2136669588
EC559B0F-4016-FC33-6CBC-9C9917140D8C,Group2136669596,146293,zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-10,zhhz.display_media_device.model_f517c63c5bc5163b,组合媒体展示屏-060（DMD-10）,f517c63c5bc5163bf160e4c15910ed0ebb3d90bfd6d27c1b3458100a8adad1be,53aa657e6e3ea0f371cb71cd71ede5c0,38,35,38,0713/Group2136669596
40AE97B4-4488-F52F-B6DC-58A53E0410FE,Group2136669599,146339,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-06,zhhz.exhibit_fixture.model_3b5a403c5180d3d0,黑白组合展台（EF-06）,3b5a403c5180d3d0eaabf17cc93ff192274c925012f14ae86dfb0ba7faab1b35,31c8f1abd56c9de84744f995e929cbf4,26,23,2,0713/Group2136669599
1FC104A5-4F41-C1EA-C93A-6EBAAC30A9F4,Group2136669614,147693,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-18,zhhz.exhibit_fixture.model_68df85f64af653f3,蓝白组合展台（EF-18）,68df85f64af653f38e9aef4c99bb20e9f0a7303c81124a0385b9ec3ae896b2c8,c9d14712b08e679db2699295021c2663,12,10,2,0713/Group2136669614
196FBEC8-4BCD-BF6A-2070-C4A8CB5022C4,Group2136669647,151606,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-21,zhhz.exhibit_fixture.model_838ad322811e2f63,八组件白色展台-A（EF-21）,838ad322811e2f63aa311976c76decb202fdb4159e4d23094b35f89a3bdba16a,39be5d799062f51b22319c0ed6cfd1b0,9,8,0,0713/Group2136669647
9841D537-4D02-279F-E5D6-D382E8BB7DF6,Group2136669708,155835,zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-09,zhhz.display_media_device.model_ef3dfa4e2519dec9,数据展示LED屏-05（DMD-09）,ef3dfa4e2519dec9a96dcd09c3abd0f3660e580e491be15e85d02f706cff838a,95f923121c30b9e5e0be0400c59f20af,10,6,0,0713/东南二层/Group2136669708
A1EF06B8-4AFB-8C19-0CF4-3BBAC1E901DD,Group2136669713,155840,zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-08,zhhz.display_media_device.model_8a8df6309530810f,数据展示LED屏-03（DMD-08）,8a8df6309530810f83b33079e8a84cde80f822e4d02b128ae893249ef0b1e755,b567995aaa69ea954b2fe8724ad79c4a,10,6,0,0713/东南二层/Group2136669713
7F35BDCC-44FD-6ECE-AC03-6B8A42B763BF,Group2136669715,155842,zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-02,zhhz.display_media_device.model_00c7287cd8769399,数据展示LED屏-02（DMD-02）,00c7287cd8769399eaacc7ebc24afb44db6a0785068b9d328e91993116bec64c,07745dce7eaa7cc5f7b81fb3814a17de,10,6,0,0713/东南二层/Group2136669715
016D4212-4909-B1EE-9C6A-DCB6B10F9821,Group2136669717,155844,zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-01,zhhz.display_media_device.model_007904e7e325c5ae,数据展示LED屏-01（DMD-01）,007904e7e325c5ae19b01a017ecb6f0e61ade40a8742da91cd8c62104aa92533,b6880db883cc996209c0bddf7da56ea6,10,6,0,0713/东南二层/Group2136669717
3745D63B-4A9E-E37E-4C71-CDB42260BA93,Group2136669777,157330,zhhz.furniture,家具,航空展馆/家具,FUR-03,zhhz.furniture.model_1e271d28426dbb11,家具 FUR-03（Group2136669777）,1e271d28426dbb116ec8712da2dd76633b32760d5c89de253ed44643c37eb3ee,a67eb08ce478c67c5298ead65f9e2228,154,148,77,0713/东南二层/Group2136669777
D35FE9EC-4411-47C4-F469-6D8EA64CAFB5,Group2136669778,157489,zhhz.furniture,家具,航空展馆/家具,FUR-10,zhhz.furniture.model_c5aac92959d48644,家具 FUR-10（Group2136669302）,c5aac92959d48644633b1840905af4d4627f89562630fb404eb590c9138c6be7,be514490d415120ded861a4685dfe0c7,154,148,77,0713/东南二层/Group2136669778
2EDE717E-4664-EF8E-C330-F69BF8B827C8,Group2136669779,157490,zhhz.furniture,家具,航空展馆/家具,FUR-03,zhhz.furniture.model_1e271d28426dbb11,家具 FUR-03（Group2136669777）,1e271d28426dbb116ec8712da2dd76633b32760d5c89de253ed44643c37eb3ee,9b64bef9ed1c1733b564478299c1be78,154,148,77,0713/东南二层/Group2136669779
85E5EF19-4DED-F454-E536-778EC0A0FA2B,Group2136669780,157797,zhhz.furniture,家具,航空展馆/家具,FUR-10,zhhz.furniture.model_c5aac92959d48644,家具 FUR-10（Group2136669302）,c5aac92959d48644633b1840905af4d4627f89562630fb404eb590c9138c6be7,f313dac5ea863612790fdd2edc9b2c3f,154,148,77,0713/东南二层/Group2136669780
5208D077-49BB-F04E-1FAE-9F99827DE47B,Group2136669781,157798,zhhz.furniture,家具,航空展馆/家具,FUR-03,zhhz.furniture.model_1e271d28426dbb11,家具 FUR-03（Group2136669777）,1e271d28426dbb116ec8712da2dd76633b32760d5c89de253ed44643c37eb3ee,0542eaf875efaa620f53018efe97aa22,154,148,77,0713/东南二层/Group2136669781
E9E61DE4-4607-5BEE-B5AF-A0AB8AA83693,Group2136669782,158105,zhhz.furniture,家具,航空展馆/家具,FUR-10,zhhz.furniture.model_c5aac92959d48644,家具 FUR-10（Group2136669302）,c5aac92959d48644633b1840905af4d4627f89562630fb404eb590c9138c6be7,407c318ed0f6ceed1d63913c3821feb2,154,148,77,0713/东南二层/Group2136669782
14F9FE6D-4E21-816E-BD4F-0D90DB6BEC9F,Group2136669783,158106,zhhz.furniture,家具,航空展馆/家具,FUR-03,zhhz.furniture.model_1e271d28426dbb11,家具 FUR-03（Group2136669777）,1e271d28426dbb116ec8712da2dd76633b32760d5c89de253ed44643c37eb3ee,74b11278923f196fa051df5c172092d8,154,148,77,0713/东南二层/Group2136669783
8F869965-482E-7BF6-07A1-9690662E32F3,Group2136669994,206378,zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-05,zhhz.display_media_device.model_3ab88f8bc986d303,数据展示LED屏-04（DMD-05）,3ab88f8bc986d303e9641425a71fd5a7af5ac0b776b796dc738691af39d0540a,ec87c2dd4cfa2ebfb8f0f00694b9ab67,10,6,0,0713/东南二层/Group2136669994
51F4BA04-44CD-C632-F708-A9AF284F85AA,Group2136669995,206379,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-05,zhhz.exhibit_fixture.model_1738f547ab972655,图文组合展台（EF-05）,1738f547ab97265578972b62d37105221cff19b046981dbf0b09cb84a4e1b15c,0ed54eeb361b8dbd7d182647540573b2,27,25,0,0713/东南二层/Group2136669995
EEABE5A2-45F1-A874-F75F-ED9559256FC1,Group2136670004,209503,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-30,zhhz.exhibit_fixture.model_d4d40631a397d955,八组件白色展台-B（EF-30）,d4d40631a397d955bea11a4907121424d62ac287b0c559ffcfe1fd3a910e4b9a,ab9f1444f9486595c9662d4b16d84139,9,8,0,0713/Group2136670004
EC1845BE-4C68-2C0F-62AB-478AFF1C46E6,Group2136670012,237113,zhhz.furniture,家具,航空展馆/家具,FUR-06,zhhz.furniture.model_61c27ee7c2b1fe3f,家具 FUR-06（Group2136670012）,61c27ee7c2b1fe3f2ae8dee1d5d3adeface89342a9c3818a00b864863344ed39,35f5ce78e27430b1c172492ff215997b,154,148,77,0713/东南二层/Group2136670012
800CE4A2-48CF-090B-F08B-E88BEF914BAD,Group2136670013,237114,zhhz.furniture,家具,航空展馆/家具,FUR-01,zhhz.furniture.model_00f6e344f4bc728d,家具 FUR-01（Group2136670013）,00f6e344f4bc728d92502ac91bf8b9e9178dfa6edb1b0ad10228b0202964aef3,558c88cb6681e67d9bd881306fe8fb53,154,148,77,0713/东南二层/Group2136670013
F5865011-43A5-4860-4FBD-7CB906C52B1B,Group2136670020,241224,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-23,zhhz.exhibit_fixture.model_9a4f0499c9482fdf,黑白简式展台（EF-23）,9a4f0499c9482fdfeccf8f24d1b3e99d1a781176093540aa0bbdf1e6feb6fec3,ff7668c0ae733acab683372ee699225d,5,3,0,0713/Group2136670020
36D30ED8-4A75-D66A-D60D-BA96F124F3D1,Group2136670040,243374,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-10,zhhz.exhibit_fixture.model_516560622e254031,白色倒角展台-B（EF-10）,516560622e254031226c9a1380a1faff028d6b1f5530d2892f1f5172ba19e570,88ed49c08a3ab801a97fc11d1ac2feb1,3,2,0,0713/Group2136670040
602DFC55-4306-7CED-012D-4F9A84D3A630,Group2136670041,243377,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-01,zhhz.exhibit_fixture.model_054920a28ec53d60,白色倒角展台-A（EF-01）,054920a28ec53d602c31129b996b6f12348aefad3826b2e49d00b46ee4f91e46,0a53cd0eeda51c1d0bce8a59a183591b,3,2,0,0713/Group2136670041
5007E780-4FF7-A40B-B1E8-82A0056E2BF9,Group2136670043,243399,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-28,zhhz.exhibit_fixture.model_c728139672c62f2e,白色倒角展台-C（EF-28）,c728139672c62f2e7094a19ba6e35a2b1d9e3e856c7cbd7fab146858fc7043f0,d46df5490df761a8a328efd96e29b90b,3,2,0,0713/Group2136670043
8B5FD818-4B92-5315-B123-DD88B61C7255,Group2136670046,246494,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-03,zhhz.exhibit_fixture.model_0c479112746dcc7e,白灰模块展台（EF-03）,0c479112746dcc7e6fad7ea3d6a0be529ae4b20975db5a87c319e22a608466a2,38a448d113f8769782794d2c7dc22b2f,33,30,3,0713/Group2136670046
EED40DDD-4C65-BF50-0CDD-878A29CC2213,Group2136670125,279769,zhhz.furniture,家具,航空展馆/家具,FUR-05,zhhz.furniture.model_475c912888eccf1b,家具 FUR-05（Group2136670125）,475c912888eccf1bddf281cc5fc12f133aca18583a40b09abd335f5a1c88b9ba,9ae766b8b29294ad006c8fa74d8b7665,18,16,10,0713/Group2136670125
0D6E4768-4D66-C591-F7E3-24B2BFB7534A,Group2136670339,447876,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-06,zhhz.exhibit_fixture.model_3b5a403c5180d3d0,黑白组合展台（EF-06）,3b5a403c5180d3d0eaabf17cc93ff192274c925012f14ae86dfb0ba7faab1b35,42ca65553324411cca92f6738ef398e2,26,23,2,0713/Group2136670339
936A88F6-4AD1-8DFB-79E1-2FBE7F036E3C,Group2136670452,515666,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-09,zhhz.exhibit_fixture.model_4e207aa4d2609660,紫色星形展陈装置（EF-09）,4e207aa4d26096601d357ac5e0ab9bb7ea46f8e28c89f267294f26f356ac6668,932657ed2f8ecc7b7ba537d1ff213a64,70,68,0,0713/Group2136670452
64323BFB-463C-61AB-D4C3-749D74EA728B,Group2136670490,552432,zhhz.furniture,家具,航空展馆/家具,FUR-07,zhhz.furniture.model_76d7245c5c5eb6f3,家具 FUR-07（Group2136670490）,76d7245c5c5eb6f3d9ae36e364f2513d09e3248e8d4a246007a8684c19292368,60ee95dba1d2e55a287fa553745bed24,14,12,0,0713/Group2136670490
28952A88-4523-942B-EE82-C880CC3B099E,Group2136670492,552446,zhhz.furniture,家具,航空展馆/家具,FUR-09,zhhz.furniture.model_c1be81bd0e519f10,家具 FUR-09（Group2136670492）,c1be81bd0e519f10a30cdf2233cfc33f9e5c07789c2d90a1507ae92e50a9366f,d0a38d384f69c8b2780c03ebc15d0527,14,12,0,0713/Group2136670492
C8C95E72-4763-972C-3B84-F9BE1250357F,Group2136670494,552460,zhhz.furniture,家具,航空展馆/家具,FUR-02,zhhz.furniture.model_08b8830e0759ec98,家具 FUR-02（Group2136670494）,08b8830e0759ec98ca747152615c5853cf84ce9e12e4ab1a13c6f9bedd1a1f49,7d74a4b901fe5d0ec0498e7c786cb52a,14,12,0,0713/Group2136670494
A246D78D-4D22-BC80-7300-7E92B841DFC5,Group2136670500,571224,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-29,zhhz.exhibit_fixture.model_cf1793fb61cb3c4e,双星发光展台-B（EF-29）,cf1793fb61cb3c4e30bbd61c30187ae2bb1534bd801d8025db53dc27a60f5aed,a931549dfbd29510c3f532db530a1872,3,2,0,0713/Group2136670449/Group2136670500
2B9EEE09-4E4E-EF68-2A73-C28FBF4B5EF1,Group2136670501,571225,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-15,zhhz.exhibit_fixture.model_59c9f5a990a7b7bb,双星发光展台-A（EF-15）,59c9f5a990a7b7bbcbb4d1ee20d00993ac1395965797b7740ccd554058a5e035,550c536b5c4b1641e546c229cf948a47,3,2,0,0713/Group2136670449/Group2136670501
75A1DED0-4B5E-5683-604B-83BD6728EED8,Group2136670503,572311,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-29,zhhz.exhibit_fixture.model_cf1793fb61cb3c4e,双星发光展台-B（EF-29）,cf1793fb61cb3c4e30bbd61c30187ae2bb1534bd801d8025db53dc27a60f5aed,426036dcdbb49f28bfbb43d8c44e611b,3,2,0,0713/Group2136670449/Group2136670503
9AE17552-4767-E7C9-23A0-8CB7DBE7E78B,Group2136670507,574783,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-02,zhhz.exhibit_fixture.model_0b4ccec734c275fb,灰黑组合展台-A（EF-02）,0b4ccec734c275fbf7b5ef1cc32e74e73d6ccf299a281add90c3e0383942dbd6,06831ec7ace53f666757b0a8d3bb57f5,26,23,2,0713/Group2136670507
B0D4E34F-42C2-68C7-2BF4-168373E4EDD3,Group2136670512,574812,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-14,zhhz.exhibit_fixture.model_59b82b91f1cd460e,灰黑组合展台-B（EF-14）,59b82b91f1cd460ea945e3186ac7fd3c80093405b7fc87a0636851a53304a47f,8ca26ea1944e4944d2397d33e8d4d594,26,23,2,0713/Group2136670512
C1BCEBFD-4907-A427-1488-84921B891B3A,Group2136670535,637730,zhhz.furniture,家具,航空展馆/家具,FUR-04,zhhz.furniture.model_2c43c2099c60a0f1,家具 FUR-04（Group2136670535）,2c43c2099c60a0f1264bbe4094588f570be6015f8d68eb4e2de0efd670963b0f,1d308ef8415d15bf86a6334ff8aa14ca,14,12,0,0713/Group2136670535
71A5B913-4B37-6AA2-1334-C0978B48BDDF,SMP-056,146247,zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-04,zhhz.display_media_device.model_2ee1fc469690eb4b,独立媒体展示屏-058（DMD-04）,2ee1fc469690eb4bcdc62bf8ee9b0c2f82e0414a5b7a19412e190fdf0fff7b95,92f33c30b60b93a67959e1d4f62ef41e,7,5,7,0713/Group2136669594/SMP-056
364FCA07-4020-05CC-E2C8-219E3CF65E46,组2142381026,673524,zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-07,zhhz.display_media_device.model_620acb0b59b3c48a,长方形LED屏（DMD-07）,620acb0b59b3c48a02845c5ef5319524337ef48ef99450d08ccd970e35a3435c,eae8636b7426115b2042ca8d70b1a562,3,2,0,0713/组2142381163/组2142381026
035E0DC7-4228-0E2F-D759-A8B24266E831,通航综合,109672,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-13,zhhz.exhibit_fixture.model_598eb999fc37ba56,通航综合展陈装置（EF-13）,598eb999fc37ba56b585183e39549906c92a598798181e866326051d2e44555d,c4bf85997f98a3641ba7fea48e6f3357,41,38,2,0713/通航综合
