group_key,count,sample_actor_labels,source_folder_path,asset_path,actor_class_path,suggested_object_type_rid,suggested_object_type_name,hierarchy_path,classification_status,action,notes
blueprint_class_path:/Game/ManipulatorRobot/Blueprints/ManipulatorRobot/ManipulatorRobot_BP.ManipulatorRobot_BP,2,ManipulatorRobot_BP|ManipulatorRobot_BP2,ToMigrate,/Game/ManipulatorRobot/Blueprints/ManipulatorRobot/ManipulatorRobot_BP.ManipulatorRobot_BP,/Game/ManipulatorRobot/Blueprints/ManipulatorRobot/ManipulatorRobot_BP.ManipulatorRobot_BP_C,,操控机械臂A,历史迁移/ToMigrate,needs_review,create_experimental,
skeletal_mesh_asset:/Game/WarehouseProps_Bundle/Models/Skeletal/SKM_Reach_Truck_01a.SKM_Reach_Truck_01a,1,SKM_Reach_Truck_01a,ToMigrate/Equipment/Skeletal,/Game/WarehouseProps_Bundle/Models/Skeletal/SKM_Reach_Truck_01a.SKM_Reach_Truck_01a,/Script/Engine.SkeletalMeshActor,,卡车1,历史迁移/ToMigrate/Equipment/Skeletal,needs_review,create_experimental,
static_mesh_asset:/Game/ManipulatorRobot/Meshes/Manipulator_Robot/SM_ManipulatorRobot_Static.SM_ManipulatorRobot_Static,2,SM_ManipulatorRobot_Static|SM_ManipulatorRobot_Static2,ToMigrate,/Game/ManipulatorRobot/Meshes/Manipulator_Robot/SM_ManipulatorRobot_Static.SM_ManipulatorRobot_Static,/Script/Engine.StaticMeshActor,,操控机械臂B ,历史迁移/ToMigrate,needs_review,create_experimental,
static_mesh_asset:/Game/WarehouseProps_Bundle/Models/SM_Industrial_Scale_01a.SM_Industrial_Scale_01a,1,SM_Industrial_Scale_01a,ToMigrate/Equipment,/Game/WarehouseProps_Bundle/Models/SM_Industrial_Scale_01a.SM_Industrial_Scale_01a,/Script/Engine.StaticMeshActor,,工业秤,历史迁移/ToMigrate/Equipment,needs_review,create_experimental,
static_mesh_asset:/Game/WarehouseProps_Bundle/Models/SM_Pallet_Truck_01a.SM_Pallet_Truck_01a,2,SM_Pallet_Truck_01a|SM_Pallet_Truck_01a2,ToMigrate/Equipment,/Game/WarehouseProps_Bundle/Models/SM_Pallet_Truck_01a.SM_Pallet_Truck_01a,/Script/Engine.StaticMeshActor,,卡车2,历史迁移/ToMigrate/Equipment,needs_review,create_experimental,
static_mesh_asset:/Game/WarehouseProps_Bundle/Models/SM_Reach_Truck_01a.SM_Reach_Truck_01a,1,SM_Reach_Truck_01a,ToMigrate/Equipment,/Game/WarehouseProps_Bundle/Models/SM_Reach_Truck_01a.SM_Reach_Truck_01a,/Script/Engine.StaticMeshActor,,卡车3,历史迁移/ToMigrate/Equipment,needs_review,create_experimental,
static_mesh_asset:/Game/WarehouseProps_Bundle/Models/SM_Reach_Truck_01a_Front_02.SM_Reach_Truck_01a_Front_02,3,SM_Reach_Truck_01a_Front_02|SM_Reach_Truck_01a_Front_3|SM_Reach_Truck_01a_Front_4,ToMigrate,/Game/WarehouseProps_Bundle/Models/SM_Reach_Truck_01a_Front_02.SM_Reach_Truck_01a_Front_02,/Script/Engine.StaticMeshActor,,卡车4,历史迁移/ToMigrate,needs_review,create_experimental,
static_mesh_asset:/Game/WarehouseProps_Bundle/Models/SM_Wrapping_Machine_01a.SM_Wrapping_Machine_01a,1,SM_Wrapping_Machine_01a,ToMigrate/Equipment,/Game/WarehouseProps_Bundle/Models/SM_Wrapping_Machine_01a.SM_Wrapping_Machine_01a,/Script/Engine.StaticMeshActor,,打包机,历史迁移/ToMigrate/Equipment,needs_review,create_experimental,
