group_key,count,sample_actor_labels,source_folder_path,asset_path,actor_class_path,assembly_signature,render_part_count,total_render_part_count,source_actor_count,unsupported_component_count,unsupported_component_types,risk_flags,suggested_object_type_rid,suggested_object_type_name,hierarchy_path,classification_status,action,notes
assembly_signature:26552a6f364d7c845f072b8f828154a4,1,Obj3d66-15761192-2-972,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-15761192-2-972.Obj3d66-15761192-2-972,/Script/Engine.StaticMeshActor,26552a6f364d7c845f072b8f828154a4,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:28391f6b9a7e616734d7e0ca754998bc,1,TL-30,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Line2144960530.Line2144960530,/Script/Engine.Actor,28391f6b9a7e616734d7e0ca754998bc,11,11,13,0,,composite_assembly,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:2a71df53ab81e99f690ca511ac5a62d3,1,Cone056,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone056.Cone056,/Script/Engine.StaticMeshActor,2a71df53ab81e99f690ca511ac5a62d3,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:341b4a4be8b9c3240cc403af23d88ef5,1,Cone168,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone168.Cone168,/Script/Engine.StaticMeshActor,341b4a4be8b9c3240cc403af23d88ef5,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:34eedaef5836ffdf946b87a5b8eb90f4,1,Cone336,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone336.Cone336,/Script/Engine.StaticMeshActor,34eedaef5836ffdf946b87a5b8eb90f4,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:35a2237ff665ab309820756e7a0084a4,1,Cone317,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone317.Cone317,/Script/Engine.StaticMeshActor,35a2237ff665ab309820756e7a0084a4,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:372f59670fad52008ecbc7ccb55d1f88,1,Cone342,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone342.Cone342,/Script/Engine.StaticMeshActor,372f59670fad52008ecbc7ccb55d1f88,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:37cb73082db0d69038bb0d7de66476e0,1,Cone354,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone354.Cone354,/Script/Engine.StaticMeshActor,37cb73082db0d69038bb0d7de66476e0,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:39008adfa7d3620fad7e00840ad7d239,1,Cone288,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone288.Cone288,/Script/Engine.StaticMeshActor,39008adfa7d3620fad7e00840ad7d239,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:3b084008955fe078da8dbb7f485cf9c0,1,Cone248,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone248.Cone248,/Script/Engine.StaticMeshActor,3b084008955fe078da8dbb7f485cf9c0,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:3b6c9c5ec9812ab2f39b3ff40e885332,1,Cone284,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone284.Cone284,/Script/Engine.StaticMeshActor,3b6c9c5ec9812ab2f39b3ff40e885332,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:3e7d5e5bbf53e6e172c45b3119a131b2,1,Cone349,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone349.Cone349,/Script/Engine.StaticMeshActor,3e7d5e5bbf53e6e172c45b3119a131b2,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:3f157ed7eb76e3da6b6905a2e9331adc,1,Cone285,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone285.Cone285,/Script/Engine.StaticMeshActor,3f157ed7eb76e3da6b6905a2e9331adc,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:43acb9250cb23f6fa7356385b15c08d0,1,Cone116,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone116.Cone116,/Script/Engine.StaticMeshActor,43acb9250cb23f6fa7356385b15c08d0,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:44e961049c2ac72ff4e8d5e7e47f25e8,1,Cone289,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone289.Cone289,/Script/Engine.StaticMeshActor,44e961049c2ac72ff4e8d5e7e47f25e8,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:488e6357846b17f59623a80d50f8a07e,1,Cone296,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone296.Cone296,/Script/Engine.StaticMeshActor,488e6357846b17f59623a80d50f8a07e,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:4901fbae8e7ff971d45f25886db17d1b,1,Cone306,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone306.Cone306,/Script/Engine.StaticMeshActor,4901fbae8e7ff971d45f25886db17d1b,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:55eda546e19f1a53d12aa7f21a8c66f8,1,Cone324,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone324.Cone324,/Script/Engine.StaticMeshActor,55eda546e19f1a53d12aa7f21a8c66f8,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
