group_key,count,sample_actor_labels,source_folder_path,asset_path,actor_class_path,assembly_signature,render_part_count,total_render_part_count,source_actor_count,unsupported_component_count,unsupported_component_types,risk_flags,suggested_object_type_rid,suggested_object_type_name,hierarchy_path,classification_status,action,notes
assembly_signature:7b90ca28df0a55986d1175067cf19a2a,1,Cone302,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone302.Cone302,/Script/Engine.StaticMeshActor,7b90ca28df0a55986d1175067cf19a2a,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:8141094bd8b87972c8ec1e8a44bf8ca3,1,Cone155,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone155.Cone155,/Script/Engine.StaticMeshActor,8141094bd8b87972c8ec1e8a44bf8ca3,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:8323080abddbc96d76377edff882d16c,1,Cone291,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone291.Cone291,/Script/Engine.StaticMeshActor,8323080abddbc96d76377edff882d16c,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:8b08b9cf8106478ce655963463ca0327,1,Cone319,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone319.Cone319,/Script/Engine.StaticMeshActor,8b08b9cf8106478ce655963463ca0327,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:8f59c2a30f5558c9bbcbdbf37ba10950,1,LD-15-25_2,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Line2144961491.Line2144961491,/Script/Engine.Actor,8f59c2a30f5558c9bbcbdbf37ba10950,11,11,12,0,,composite_assembly,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:91722d9bbd55ab8e4d5c0a9cc0f00cf4,1,Cone283,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone283.Cone283,/Script/Engine.StaticMeshActor,91722d9bbd55ab8e4d5c0a9cc0f00cf4,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:94503ffd63ad67b58f1271b50657b68f,1,对象2419255,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/对象2419255.对象2419255,/Script/Engine.StaticMeshActor,94503ffd63ad67b58f1271b50657b68f,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:94834f37f75f72635c7afccc0dd3a4a7,1,Cone282,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone282.Cone282,/Script/Engine.StaticMeshActor,94834f37f75f72635c7afccc0dd3a4a7,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:9c69d72022f203f81430936dafe1545c,1,Cone325,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone325.Cone325,/Script/Engine.StaticMeshActor,9c69d72022f203f81430936dafe1545c,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:a6e10f3843b15f47cd7f6a58531ad0f8,1,Cone347,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone347.Cone347,/Script/Engine.StaticMeshActor,a6e10f3843b15f47cd7f6a58531ad0f8,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:b9eddfb739e22a8bfa4e3ea37e519ff4,1,Cone358,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone358.Cone358,/Script/Engine.StaticMeshActor,b9eddfb739e22a8bfa4e3ea37e519ff4,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:bc8e8472905360fecf740fa39e35f332,1,Cone161,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone161.Cone161,/Script/Engine.StaticMeshActor,bc8e8472905360fecf740fa39e35f332,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
