ext_guid,actor_label,datasmith_handle,selection_source,business_type,business_type_name,object_type_rid,hierarchy_path,source_actor_count,render_part_count,mirrored_source_actor_count,assembly_signature,ue_path
22C25763-4BC1-6E20-B5A8-659129D7A751,J-20S,462376,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,24,23,0,eac4d312ad5c793055ebfbb5eadff695,0713/J-20S
D1CBCEF0-4816-D108-BEFD-A0B38D23572A,J10CE_模拟器,551504,candidate,cockpit_simulator,座舱/模拟训练系统,zhhz.cockpit_simulator,航空展馆/座舱与模拟训练系统,9,8,0,df662e602d3e1e6d1a204b36cd06a243,0713/J10CE_模拟器
E1D6E790-44B5-1B5F-1548-B88F0CB9ADD1,JH-7E,400224,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,78,77,0,39643b3e69504ae00c449c232c966e3a,0713/JH-7E
DCBA5A1B-4B76-3B92-EAA5-47B74571479E,KJ-500,69533,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,7,6,0,d3058ce68ac59221ee4d885bbc343d1e,0713/KJ-500
20FCB3D1-48F9-DBA8-D0F0-7FA8F9A9BE76,KJ-500H,130203,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,7,6,0,5912a9313638bfc7fdc3c4b2be980856,0713/KJ-500H
2F49ACDC-4E94-DA7B-BECE-7DBC779C1AAE,KJ-600,231401,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,140,139,0,20a6180b5e75b0814a077c70b90e6a07,0713/KJ-600
7D64B4B2-4D6C-421E-5997-269D0C7115E5,KJ-602,609824,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,139,138,0,7e84438bfb2653615d7610ac794814fa,0713/KJ-602
5564B45E-49B6-FB7E-8701-BAA140C61AD9,Kj-511,152877,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,7,6,0,27144b7582fd181fd51172759d925ec5,0713/Kj-511
DF0935D6-494B-9636-1E7E-9EBC5BB0CDE5,LD-15-052,231407,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,13,12,4,7764fe34bf22ae0619708af66d4d24d3,0713/LD-15-052
3C72983D-47A0-7BBC-A2CE-E09B80B3605C,LD-15-10,156962,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,12,11,4,7bc4218caa7614df69816db9292d0a8b,0713/LD-15-10
0216EFE2-48C6-1BDC-71BC-D89A1F6EC2A9,LD-15-25,112958,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,8,7,6,1c6359da4bc753ce85fab59cc91d8049,0713/LD-15-25
0279A56E-4194-774E-9698-A5948426923C,LD-15-5,156974,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,12,11,4,21ed842987f455cc52ee78fa846cd463,0713/LD-15-5
0DE9A99D-4CB1-A4A2-445E-E0A9403E1B0B,LD-8A,467789,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,11,10,0,d0ef0debbf7b05fd732512cf987964db,0713/LD-8A
E50C2FAD-4475-0001-C645-E0A219E7D815,LD-8A001,445155,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,11,10,0,6376cb58c3e5d87505ae73d0772e7439,0713/LD-8A001
110D2C4F-4884-E38F-72C7-DCB7D2D56943,LD-8A003,647731,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,11,10,0,8ab7304aff0578c899a801ef23e32496,0713/LD-8A003
5514250F-4A8D-EEF0-89AB-49A4B8F8F8DE,LD-8B,467790,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,11,10,0,56c67c7db36d973c135a2c0e0943f70b,0713/LD-8B
52C7371D-43EA-35DB-B44D-91A691716218,LS-6-518,415234,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,15,13,12,f1b18230b3f90ae9e5f167d0a8bde89a,0713/LS-6-518
36BC02E6-46B5-4F71-2134-498DD53B0B4C,LS-6-522,649339,candidate,aviation_weapon,航空武器/弹药,zhhz.aviation_weapon,航空展馆/航空武器与弹药,15,13,12,873032ed497e2f2dbcda674d3a916240,0713/LS-6-522
69A066AA-4C58-5EA9-30E1-148C61A88F43,MA60灭火,138652,supplemental,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,103,98,27,0b64e2cc8a4e823e00005dff5b0d6bc7,0713/MA60灭火
