group_key,count,sample_actor_labels,source_folder_path,asset_path,actor_class_path,assembly_signature,render_part_count,total_render_part_count,source_actor_count,unsupported_component_count,unsupported_component_types,risk_flags,suggested_object_type_rid,suggested_object_type_name,hierarchy_path,classification_status,action,notes
assembly_signature:e3c0124906d744effc56105c14f3ed8a,1,Cylinder32239828,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32239828.Cylinder32239828,/Script/Engine.StaticMeshActor,e3c0124906d744effc56105c14f3ed8a,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e3ced2a909be610f3551afe38219b04c,1,Cylinder32238092,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32238092.Cylinder32238092,/Script/Engine.StaticMeshActor,e3ced2a909be610f3551afe38219b04c,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e3eedd8fd2a6e4849ca8853b01fa1101,1,Cylinder32237565,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32237565.Cylinder32237565,/Script/Engine.StaticMeshActor,e3eedd8fd2a6e4849ca8853b01fa1101,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e3f68b4d21c15400667e2341829cd884,1,Cylinder32240674,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32240674.Cylinder32240674,/Script/Engine.StaticMeshActor,e3f68b4d21c15400667e2341829cd884,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e40371bae38ea43fab596937fababfaf,1,Cylinder32240311,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32240311.Cylinder32240311,/Script/Engine.StaticMeshActor,e40371bae38ea43fab596937fababfaf,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e409b754bcfcdb6a5a055325ae96e0d6,1,Cylinder32239099,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32239099.Cylinder32239099,/Script/Engine.StaticMeshActor,e409b754bcfcdb6a5a055325ae96e0d6,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e4123e55b06365343eb3449987dc3ab6,1,Cylinder32239803,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32239803.Cylinder32239803,/Script/Engine.StaticMeshActor,e4123e55b06365343eb3449987dc3ab6,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e44f6a1c64ef23dc59b948eb0ca59413,1,Cylinder32238977,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32238977.Cylinder32238977,/Script/Engine.StaticMeshActor,e44f6a1c64ef23dc59b948eb0ca59413,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e45a6f953d0c22ed6aad0ce6b7f2091a,1,Cylinder32240968,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32240968.Cylinder32240968,/Script/Engine.StaticMeshActor,e45a6f953d0c22ed6aad0ce6b7f2091a,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e45eae4285d6b24b18bfb92449ce9f3d,1,Cylinder32238413,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32238413.Cylinder32238413,/Script/Engine.StaticMeshActor,e45eae4285d6b24b18bfb92449ce9f3d,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
