group_key,count,sample_actor_labels,source_folder_path,asset_path,actor_class_path,assembly_signature,render_part_count,total_render_part_count,source_actor_count,unsupported_component_count,unsupported_component_types,risk_flags,suggested_object_type_rid,suggested_object_type_name,hierarchy_path,classification_status,action,notes
assembly_signature:5e9c92b0daf468f1bcd38ffcb1b0b2c3,1,Group2136669786,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Shape1622260049.Shape1622260049,/Script/Engine.Actor,5e9c92b0daf468f1bcd38ffcb1b0b2c3,2,2,3,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:CF4A1F5A438D42CC716F98AE0A63E5C9
assembly_signature:6057e36e3e6add2742b999616b0020b4,1,YY-20,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Box2131642663_2.Box2131642663_2,/Script/Engine.Actor,6057e36e3e6add2742b999616b0020b4,2,2,4,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:257B957C4A87C2BCC50EE8A1C6D472CC
assembly_signature:60a2ea4e0419e175e43b6aa4f55d6926,1,3d66Group110,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/3d66diban-087.3d66diban-087,/Script/Engine.Actor,60a2ea4e0419e175e43b6aa4f55d6926,3,3,5,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:16B619304FD1E3634CDE25B29CA08531
assembly_signature:61cdab61fe9b5799598c60dfc79a1322,1,3d66Group192,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/3d66-Editable_mesh-23797109-362.3d66-Editable_mesh-23797109-362,/Script/Engine.Actor,61cdab61fe9b5799598c60dfc79a1322,2,2,3,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:51650566405D38E2B4471BA74C78CC47
assembly_signature:6471c6fd8f3d7a0f88b55c34d0f4f628,1,Group2136669887,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32237359.Cylinder32237359,/Script/Engine.Actor,6471c6fd8f3d7a0f88b55c34d0f4f628,14,14,15,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:7B58CE3F4526A5B437B4E4AB9B80AA48
assembly_signature:6476a258e79fbf70d999cc7aad181b09,1,大型装置,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Brep_With_Voids_9.Brep_With_Voids_9,/Script/Engine.Actor,6476a258e79fbf70d999cc7aad181b09,39,39,79,0,,composite_assembly,zhhz.exhibit_fixture,展陈装置,展陈装置,confirmed,create_experimental,round4 reviewed group=manual:large_device
assembly_signature:658050d1391798cc03d077fbf6679378,1,Group2136670270,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/AVIC_0706/Geometries/Rectangle2133396034.Rectangle2133396034,/Script/Engine.Actor,658050d1391798cc03d077fbf6679378,3,3,4,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:4353ED544D7E59E6001EAFAB1D85FEE7
assembly_signature:65c43b6dc488d830fe7fe47611ba0537,1,132-012,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-15586797-58-540.Obj3d66-15586797-58-540,/Script/Engine.Actor,65c43b6dc488d830fe7fe47611ba0537,24,24,29,0,,composite_assembly,zhhz.device_screen,装置屏幕,显示与媒体设备,confirmed,create_experimental,round4 reviewed group=actor:03A92F5542B7F4E12283EE83E8E28EC4
assembly_signature:6610bd9dd30412e52dd7535ff8459778,1,Group-16049182-80-039,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/AVIC_0706/Geometries/Obj3d66-16049182-877-874.Obj3d66-16049182-877-874,/Script/Engine.Actor,6610bd9dd30412e52dd7535ff8459778,31,31,41,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:7EAEC46B44CF5EEA9E5B5981CB51816B
assembly_signature:664a0ef36bf52eefe5c7cbbb18172dc1,1,Group2136670348,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-784769-2-273.Obj3d66-784769-2-273,/Script/Engine.Actor,664a0ef36bf52eefe5c7cbbb18172dc1,16,16,19,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:4DFE0B0D4F0969070249FD9CBB000621
assembly_signature:67369af0ea9b74c29bdc82eb2957a78c,1,Group2136670550,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Rectangle2133400849.Rectangle2133400849,/Script/Engine.Actor,67369af0ea9b74c29bdc82eb2957a78c,4,4,5,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:940E479248D565538B1064B71D8AE27E
assembly_signature:692c1441c0a13da2b5e7284abdff7469,1,3d66Group097,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/3d66-Editable_mesh-30914087-028.3d66-Editable_mesh-30914087-028,/Script/Engine.Actor,692c1441c0a13da2b5e7284abdff7469,2,2,3,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:53A75A004EFA232D1F77BAA0BB316C22
assembly_signature:69376607c5e190462d02703545b51be6,1,Group2136668962,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-9857125-15-956.Obj3d66-9857125-15-956,/Script/Engine.Actor,69376607c5e190462d02703545b51be6,13,13,15,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:F533487B4EF6B68F5614A1A98A0E2AFD
assembly_signature:69ff5cceff16737ae88889fbfa0de4a5,1,Group2136669704,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-16049182-114-365.Obj3d66-16049182-114-365,/Script/Engine.Actor,69ff5cceff16737ae88889fbfa0de4a5,130,130,134,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:2F69527A470BB26B5F63409E96AB1A3C
assembly_signature:6bbc83f8a8c45b7d72579cfe4e2a9a8f,1,Group2112605508,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-628807-17-212.Obj3d66-628807-17-212,/Script/Engine.Actor,6bbc83f8a8c45b7d72579cfe4e2a9a8f,3,3,4,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:62C8685A41B09644570884A4C69FCE5A
assembly_signature:6bd28d754dd40557ea6baa7e557b9506,1,132-002,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-15586797-59-011.Obj3d66-15586797-59-011,/Script/Engine.Actor,6bd28d754dd40557ea6baa7e557b9506,24,24,29,0,,composite_assembly,zhhz.device_screen,装置屏幕,显示与媒体设备,confirmed,create_experimental,round4 reviewed group=actor:A66E5EDB43DBBA618C8E05BBBB706AE8
assembly_signature:6c3d11124a2e584a2de185f99e1d7451,1,通航综合009,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Box2131643638.Box2131643638,/Script/Engine.Actor,6c3d11124a2e584a2de185f99e1d7451,38,38,41,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:1200C0D0499E99714270B68E6A876565
assembly_signature:6e6c866f2e538063be2335e6124d8bec,1,Group2136669271,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Rectangle2133395885.Rectangle2133395885,/Script/Engine.Actor,6e6c866f2e538063be2335e6124d8bec,5,5,6,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:E4CCE1CE435AE3AD782B1F8A3C2FDAA8
assembly_signature:6ea7d0f4ec0f1fd82ea85dba83f6e311,1,132-003,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-15586797-57-163.Obj3d66-15586797-57-163,/Script/Engine.Actor,6ea7d0f4ec0f1fd82ea85dba83f6e311,24,24,29,0,,composite_assembly,zhhz.device_screen,装置屏幕,显示与媒体设备,confirmed,create_experimental,round4 reviewed group=actor:51FF407D47937E43E55BA3B1E9F966D8
assembly_signature:6ef5729f9cc57ede16079759b1cbe8e6,1,座舱/模拟训练系统-02,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/AVIC_0706/Geometries/Obj3d66-9556484-10-496.Obj3d66-9556484-10-496,/Script/Engine.Actor,6ef5729f9cc57ede16079759b1cbe8e6,23,23,24,0,,composite_assembly,zhhz.aircraft_model_equipment,航模设备,航模设备,confirmed,create_experimental,round4 reviewed group=actor:253B29364E688BC413F9AF812420A4BD
assembly_signature:6f9abaf2bedf1b0d9407b9c6f42479cb,1,YY-16HDT,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Mesh17097.Mesh17097,/Script/Engine.Actor,6f9abaf2bedf1b0d9407b9c6f42479cb,1,1,2,0,,,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:59A9842440A52DADB9DBF6A73CDEF4A4
assembly_signature:7064ff2b99038af33d7221fd8c8249b3,1,Group2136668162,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/对象001.对象001,/Script/Engine.Actor,7064ff2b99038af33d7221fd8c8249b3,6,6,7,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:372543654BE5B462DE0018B843B920E5
assembly_signature:70a56804e1b4a73392997bc9b8d9a19a,1,Group2136670056,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-15586797-35-443.Obj3d66-15586797-35-443,/Script/Engine.Actor,70a56804e1b4a73392997bc9b8d9a19a,6,6,7,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:EB16F1EF470C622FB469E79280599E46
assembly_signature:7380bda14cd6437736fee7ee6c811e6e,1,Group2136670055,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-15586797-52-450.Obj3d66-15586797-52-450,/Script/Engine.Actor,7380bda14cd6437736fee7ee6c811e6e,3,3,4,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:CC09083C4FEC2D26EFDD46A9F6D9C30A
assembly_signature:741046d1c2635aed1f8ad4c0333d4e9d,1,Group2136669858,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/AVIC_0706/Geometries/Shape1622260051.Shape1622260051,/Script/Engine.Actor,741046d1c2635aed1f8ad4c0333d4e9d,1,1,2,0,,,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:9810A9CC40129B0E16825BBDBA260584
assembly_signature:74454fecf4b2e4c71d34e85e64ef5077,1,Group2136670267,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/AVIC_0706/Geometries/obj_772.obj_772,/Script/Engine.Actor,74454fecf4b2e4c71d34e85e64ef5077,7,7,8,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:EFF06AD44AB12E901793738B23E23CC7
assembly_signature:7583c552b7538f0a65629d301304ef93,1,300T,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/3d66-Editable_mesh-22577645-002.3d66-Editable_mesh-22577645-002,/Script/Engine.Actor,7583c552b7538f0a65629d301304ef93,18,18,19,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:A75A533C473270DED3FCAF96B67ED7D4
