group_key,count,sample_actor_labels,source_folder_path,asset_path,actor_class_path,assembly_signature,render_part_count,total_render_part_count,source_actor_count,unsupported_component_count,unsupported_component_types,risk_flags,suggested_object_type_rid,suggested_object_type_name,hierarchy_path,classification_status,action,notes
assembly_signature:72f3b52cad9d8b6e257ad8ec22fbef4f,1,1号自动上板机,设备迁移/1F/ICT产线,/Game/SCC_W9/Art/Models/ICT/StaticMesh/StaticMeshes/ShangBanJi_L460-SF-AGV-Xianti.ShangBanJi_L460-SF-AGV-Xianti,/Script/Engine.StaticMeshActor,72f3b52cad9d8b6e257ad8ec22fbef4f,2,2,2,0,,composite_assembly,scc_w19.auto_board_loader_l460,自动上板机_L460-SF-AGV,生产区/1F/ICT产线/产线_01/工位_01_自动上板,confirmed,create_experimental,Gate A/B approved by user; equipment only; zone_id=scc_w19_1f_ict
assembly_signature:e74b18463149dd92bae04594fffd3c40,1,2号机器人上下料单元,设备迁移/1F/ICT产线,/Game/SCC_W9/Art/Models/ICT/StaticMesh/StaticMeshes/SM_SheBei01.SM_SheBei01,/Script/Engine.StaticMeshActor,e74b18463149dd92bae04594fffd3c40,4,4,4,0,,composite_assembly|skeletal_mesh,scc_w19.robot_loading_unit,机器人上下料单元_W9,生产区/1F/ICT产线/产线_01/工位_02_机器人上下料,confirmed,create_experimental,Gate A/B approved by user; equipment only; zone_id=scc_w19_1f_ict
assembly_signature:6756dd1e18c515f970ebacbfa824cd3b,1,3号ICT测试机,设备迁移/1F/ICT产线,/Game/SCC_W9/Art/Models/ICT/StaticMesh/StaticMeshes/ICT_TR5001E-Xianti.ICT_TR5001E-Xianti,/Script/Engine.StaticMeshActor,6756dd1e18c515f970ebacbfa824cd3b,4,4,4,0,,composite_assembly,scc_w19.ict_tester_tr5001e,ICT测试机_TR5001E,生产区/1F/ICT产线/产线_01/工位_03_ICT测试,confirmed,create_experimental,Gate A/B approved by user; equipment only; zone_id=scc_w19_1f_ict
assembly_signature:db2f5216bfb8d05f0c66da11fb5857e8,1,4号自动分板机,设备迁移/1F/ICT产线,/Game/SCC_W9/Art/Models/ICT/StaticMesh/StaticMeshes/001-在线分板机-002.001-在线分板机-002,/Script/Engine.StaticMeshActor,db2f5216bfb8d05f0c66da11fb5857e8,2,2,2,0,,composite_assembly,scc_w19.online_board_separator_er7000,在线分板机_ER-7000,生产区/1F/ICT产线/产线_01/工位_04_自动分板,confirmed,create_experimental,Gate A/B approved by user; equipment only; zone_id=scc_w19_1f_ict
assembly_signature:5b25633e95e2c7887f11a14d46b2b782,1,5号机器人下料单元,设备迁移/1F/ICT产线,/Game/SCC_W9/Art/Models/ICT/StaticMesh/StaticMeshes/ZiDongChaJianJi.ZiDongChaJianJi,/Script/Engine.StaticMeshActor,5b25633e95e2c7887f11a14d46b2b782,6,6,6,0,,composite_assembly|skeletal_mesh,scc_w19.robot_unloading_unit,机器人下料单元_W9,生产区/1F/ICT产线/产线_01/工位_05_机器人下料,confirmed,create_experimental,Gate A/B approved by user; equipment only; zone_id=scc_w19_1f_ict
assembly_signature:51e69d662cc39d1a38a6c810125a01f1,1,2号ICT整线装配,设备迁移/1F/ICT产线,/Game/SCC_W9/Art/Models/ICT/SM_CIT/Geometries/SM_JieBoTai01.SM_JieBoTai01,/Script/DatasmithContent.DatasmithSceneActor,51e69d662cc39d1a38a6c810125a01f1,15,15,16,0,,composite_assembly,scc_w19.ict_line_assembly_sm_cit,ICT整线装配_SM_CIT,生产区/1F/ICT产线/产线_02/整线装配,confirmed,create_experimental,Gate A/B approved by user; equipment only; zone_id=scc_w19_1f_ict
